Company,Item,Calories,"Calories from
Fat","Total Fat
(g)","Saturated Fat
(g)","Trans Fat
(g)","Cholesterol
(mg)","Sodium 
(mg)","Carbs
(g)","Fiber
(g)","Sugars
(g)","Protein
(g)","Weight Watchers
Pnts","Iron
(mg)","Potassium
(mg)","Magnesium
(mg)","Calcium
(mg)","Vitamin A
(mg)","Vitamin C
(mg)","Vitamin D
(mg)"
McDonald's,Hamburger,250,80,9,3.5,0.5,25,520,31,2,6,12,247.5,2.5,220,25,120,0.02,1,0.5
McDonald's,Cheeseburger,300,110,12,6,0.5,40,750,33,2,6,15,297,2.8,250,28,180,0.04,1.5,0.8
McDonald's,Double Cheeseburger,440,210,23,11,1.5,80,1150,34,2,7,25,433,4.2,380,35,280,0.06,2,1.2
McDonald's,McDouble,390,170,19,8,1,65,920,33,2,7,22,383,3.8,340,32,250,0.05,1.8,1
McDonald's, Quarter Pounder® with Cheese,510,230,26,12,1.5,90,1190,40,3,9,29,502,4.5,420,38,300,0.06,2.5,1.5
McDonald's,Double Quarter Pounder® with Cheese,740,380,42,19,2.5,155,1380,40,3,9,48,720,7.2,680,52,450,0.1,3,2.2
McDonald's,Big Mac®,540,260,29,10,1.5,75,1040,45,3,9,25,534,4.5,480,40,320,0.06,3,1.4
McDonald's,Big N' Tasty®,460,220,24,8,1.5,70,720,37,3,8,24,452,3.8,380,35,220,0.05,4,1.2
McDonald's,Big N' Tasty® with Cheese,510,250,28,11,1.5,85,960,38,3,8,27,502,4.2,420,38,280,0.06,4.5,1.5
McDonald's,Angus Bacon & Cheese,790,350,39,17,2,145,2070,63,4,13,45,775,6.5,720,55,420,0.08,5,2
McDonald's,Angus Deluxe,750,350,39,16,2,135,1700,61,4,10,40,736,6.2,680,52,380,0.08,6,1.8
McDonald's,Angus Mushroom & Swiss,770,360,40,17,2,135,1170,59,4,8,44,751,6.4,700,58,400,0.07,4,1.9
McDonald's,Filet-O-Fish®,380,170,18,3.5,0,40,640,38,2,5,15,373.5,1.8,280,22,150,0.02,0,0.8
